id,integral_strain_stress,x,y,z
182,-1.9996643126157e-07,0.005,0.025,0.001
183,-2.2912680682531e-07,0.007,0.025,0.001
184,-1.4360787726916e-07,0.009,0.025,0.001
185,-1.2362263521513e-07,0.011,0.025,0.001
186,-2.9916295714436e-08,0.013,0.025,0.001
187,1.4595458580484e-08,0.015,0.025,0.001
188,1.8959049871156e-08,0.017,0.025,0.001
189,3.8581309508614e-08,0.019,0.025,0.001
190,2.7856086014433e-08,0.021,0.025,0.001
191,1.478997691864e-09,0.023,0.025,0.001
192,-4.788140213316e-09,0.025,0.025,0.001
193,-3.1376492760049e-08,0.027,0.025,0.001
194,-1.9545486200526e-08,0.029,0.025,0.001
195,5.2796657189942e-08,0.001,0.027,0.001
196,-7.4108269639123e-08,0.003,0.027,0.001
197,-1.4319902567091e-07,0.005,0.027,0.001
198,-1.9626139279705e-07,0.007,0.027,0.001
199,-2.2208372950217e-07,0.009,0.027,0.001
200,-2.0067485291236e-07,0.011,0.027,0.001
201,-1.6125299007558e-07,0.013,0.027,0.001
202,-9.7004258682897e-08,0.015,0.027,0.001
203,-3.0879193532712e-08,0.017,0.027,0.001
204,1.3241664682706e-08,0.019,0.027,0.001
205,3.0891337007921e-08,0.021,0.027,0.001
206,2.095172214575e-08,0.023,0.027,0.001
207,-9.3965101184987e-10,0.025,0.027,0.001
208,-1.3864949542758e-08,0.027,0.027,0.001
209,3.529101455041e-09,0.029,0.027,0.001
210,9.3517441101805e-08,0.001,0.029,0.001
211,3.485805478267e-08,0.003,0.029,0.001
212,-4.1555654679926e-08,0.005,0.029,0.001
213,-1.3941778245168e-07,0.007,0.029,0.001
214,-2.1944838986991e-07,0.009,0.029,0.001
215,-2.6126884135645e-07,0.011,0.029,0.001
216,-2.4166227002966e-07,0.013,0.029,0.001
217,-1.6970427582175e-07,0.015,0.029,0.001
218,-7.6669113521813e-08,0.017,0.029,0.001
219,1.4088718628232e-09,0.019,0.029,0.001
220,3.6985354719588e-08,0.021,0.029,0.001
221,3.4329096642831e-08,0.023,0.029,0.001
222,1.7487365522237e-08,0.025,0.029,0.001
223,5.655467343168e-09,0.027,0.029,0.001
224,4.391171203191e-08,0.029,0.029,0.001
225,7.9318043719132e-08,0.001,0.001,0.003
226,4.1657413446597e-10,0.003,0.001,0.003
227,-3.5241944100909e-08,0.005,0.001,0.003
228,-7.5201203719363e-08,0.007,0.001,0.003
229,-1.3219344519471e-07,0.009,0.001,0.003
230,-1.45685943851e-07,0.011,0.001,0.003
231,-1.9704293703948e-07,0.013,0.001,0.003
232,-2.1859688359808e-07,0.015,0.001,0.003
233,-1.9675672128606e-07,0.017,0.001,0.003
234,-1.6145660222843e-07,0.019,0.001,0.003
235,-6.9551831117562e-08,0.021,0.001,0.003
236,-6.0495682286136e-09,0.023,0.001,0.003
237,3.6988981791903e-08,0.025,0.001,0.003
238,6.3665791195332e-08,0.027,0.001,0.003
239,2.5879043045011e-08,0.029,0.001,0.003
240,4.1298854161217e-08,0.001,0.003,0.003
241,-8.9905162125658e-08,0.003,0.003,0.003
242,-1.5266193159162e-07,0.005,0.003,0.003
243,-1.8891908786855e-07,0.007,0.003,0.003
244,-2.1356769404306e-07,0.009,0.003,0.003
245,-2.7352330812557e-07,0.011,0.003,0.003
246,-2.7010966909432e-07,0.013,0.003,0.003
247,-2.6963766876439e-07,0.015,0.003,0.003
248,-2.3414761514182e-07,0.017,0.003,0.003
249,-1.6914582967754e-07,0.019,0.003,0.003
250,-1.1619212795266e-07,0.021,0.003,0.003
251,-4.5831327430571e-08,0.023,0.003,0.003
252,-1.82103379589e-08,0.025,0.003,0.003
253,2.6611464728443e-08,0.027,0.003,0.003
254,5.3149602593817e-08,0.029,0.003,0.003
255,-1.6315413986338e-09,0.001,0.005,0.003
256,-1.7424779156549e-07,0.003,0.005,0.003
257,-2.5090069742037e-07,0.005,0.005,0.003
258,-2.6888441448376e-07,0.007,0.005,0.003
259,-2.9654528313253e-07,0.009,0.005,0.003
260,-2.7285127585201e-07,0.011,0.005,0.003
261,-2.6572661377342e-07,0.013,0.005,0.003
262,-2.5302646907984e-07,0.015,0.005,0.003
263,-2.1427577666396e-07,0.017,0.005,0.003
264,-2.0529616426893e-07,0.019,0.005,0.003
