id,integral_strain_stress2,x,y,z
185,6.2771416817946e-13,0.00275,0.00175,0
186,1.726039020215e-12,0.00325,0.00175,0
187,2.996441703911e-12,0.00375,0.00175,0
188,3.7585423473813e-12,0.00425,0.00175,0
189,3.5088295554842e-12,0.00475,0.00175,0
190,2.0216188950386e-12,0.00525,0.00175,0
191,-9.5990334779785e-14,0.00575,0.00175,0
192,-1.8400247820638e-12,0.00625,0.00175,0
193,-2.2048160255153e-12,0.00675,0.00175,0
194,-1.1010337834551e-12,0.00725,0.00175,0
195,5.9530667990087e-13,0.00775,0.00175,0
196,1.4680943083776e-12,0.00825,0.00175,0
197,6.2491430773188e-13,0.00875,0.00175,0
198,-1.6384107990465e-12,0.00925,0.00175,0
199,-3.9194066555881e-12,0.00975,0.00175,0
200,-4.7084110226529e-12,0.01025,0.00175,0
201,-3.4236982824259e-12,0.01075,0.00175,0
202,-1.0544013701348e-12,0.01125,0.00175,0
203,3.3376776619745e-13,0.01175,0.00175,0
204,-1.1592025661886e-12,0.01225,0.00175,0
205,-6.2984957794347e-12,0.01275,0.00175,0
206,-1.3286031369782e-11,0.01325,0.00175,0
207,-1.9742827672125e-11,0.01375,0.00175,0
208,-2.0885450061691e-11,0.01425,0.00175,0
209,-1.1532879315252e-11,0.01475,0.00175,0
210,-1.1532879315266e-11,0.01525,0.00175,0
211,-2.0885450061746e-11,0.01575,0.00175,0
212,-1.9742827672217e-11,0.01625,0.00175,0
213,-1.3286031369909e-11,0.01675,0.00175,0
214,-6.2984957795984e-12,0.01725,0.00175,0
215,-1.1592025663601e-12,0.01775,0.00175,0
216,3.3376776604004e-13,0.01825,0.00175,0
217,-1.054401370267e-12,0.01875,0.00175,0
218,-3.4236982825192e-12,0.01925,0.00175,0
219,-4.7084110226877e-12,0.01975,0.00175,0
220,-3.9194066555607e-12,0.02025,0.00175,0
221,-1.6384107989755e-12,0.02075,0.00175,0
222,6.2491430780381e-13,0.02125,0.00175,0
223,1.4680943084054e-12,0.02175,0.00175,0
224,5.9530667986527e-13,0.02225,0.00175,0
225,-1.1010337835371e-12,0.02275,0.00175,0
226,-2.2048160256025e-12,0.02325,0.00175,0
227,-1.8400247821229e-12,0.02375,0.00175,0
228,-9.5990334814489e-14,0.02425,0.00175,0
229,2.0216188949975e-12,0.02475,0.00175,0
230,3.5088295554025e-12,0.02525,0.00175,0
231,3.758542347261e-12,0.02575,0.00175,0
232,2.9964417037855e-12,0.02625,0.00175,0
233,1.7260390201302e-12,0.02675,0.00175,0
234,6.2771416814743e-13,0.02725,0.00175,0
235,4.3715963927126e-14,0.02775,0.00175,0
236,7.5808546856199e-14,0.02825,0.00175,0
237,4.5319951490373e-13,0.02875,0.00175,0
238,4.9653537977922e-13,0.02925,0.00175,0
239,-1.0543636796038e-13,0.02975,0.00175,0
240,5.4295207214242e-13,0.00025,0.00225,0
241,-1.2383659120423e-14,0.00075,0.00225,0
242,-8.1659940036786e-14,0.00125,0.00225,0
243,2.1524849210834e-14,0.00175,0.00225,0
244,4.3966011783182e-13,0.00225,0.00225,0
245,1.0414018102939e-12,0.00275,0.00225,0
246,1.4983517190134e-12,0.00325,0.00225,0
247,1.4894352045196e-12,0.00375,0.00225,0
248,1.0665955256545e-12,0.00425,0.00225,0
249,4.5433837166512e-13,0.00475,0.00225,0
250,6.8369122006279e-14,0.00525,0.00225,0
251,9.6557762017275e-14,0.00575,0.00225,0
252,5.2544544177668e-13,0.00625,0.00225,0
253,9.874186080637e-13,0.00675,0.00225,0
254,1.0195361996812e-12,0.00725,0.00225,0
255,2.3238158874242e-13,0.00775,0.00225,0
256,-1.3259614444562e-12,0.00825,0.00225,0
257,-3.077789471658e-12,0.00875,0.00225,0
258,-4.0176815810013e-12,0.00925,0.00225,0
259,-3.2588189337711e-12,0.00975,0.00225,0
260,-5.7369125350084e-13,0.01025,0.00225,0
261,3.0736471651114e-12,0.01075,0.00225,0
262,5.6291945671444e-12,0.01125,0.00225,0
263,4.801119405243e-12,0.01175,0.00225,0
264,-1.2522424846056e-12,0.01225,0.00225,0
265,-1.2061799962999e-11,0.01275,0.00225,0
266,-2.60496544052e-11,0.01325,0.00225,0
267,-3.8669017147313e-11,0.01375,0.00225,0
268,-4.4834852739454e-11,0.01425,0.00225,0
269,-3.2340173838745e-11,0.01475,0.00225,0
270,-3.2340173838786e-11,0.01525,0.00225,0
271,-4.4834852739555e-11,0.01575,0.00225,0
272,-3.8669017147446e-11,0.01625,0.00225,0
273,-2.6049654405361e-11,0.01675,0.00225,0
274,-1.2061799963175e-11,0.01725,0.00225,0
275,-1.2522424847584e-12,0.01775,0.00225,0
276,4.8011194051351e-12,0.01825,0.00225,0
277,5.6291945670711e-12,0.01875,0.00225,0
278,3.0736471650657e-12,0.01925,0.00225,0
279,-5.7369125352231e-13,0.01975,0.00225,0
280,-3.2588189337595e-12,0.02025,0.00225,0
281,-4.0176815809512e-12,0.02075,0.00225,0
282,-3.0777894715659e-12,0.02125,0.00225,0
283,-1.3259614443441e-12,0.02175,0.00225,0
284,2.3238158883765e-13,0.02225,0.00225,0
285,1.0195361997184e-12,0.02275,0.00225,0
286,9.8741860802597e-13,0.02325,0.00225,0
287,5.2544544168003e-13,0.02375,0.00225,0
288,9.6557761906397e-14,0.02425,0.00225,0
289,6.8369121922677e-14,0.02475,0.00225,0
290,4.5433837163257e-13,0.02525,0.00225,0
