id,uzr,x,y,z
3363,0.11174069062093,0.015,0.015,0.003
3394,0.7258143455141,0.015,0.016,0.003
3425,0.8685191136343,0.015,0.017,0.003
3456,0.99453476379063,0.015,0.018,0.003
3487,0.81092574547085,0.015,0.019,0.003
3518,0.52152989623405,0.015,0.02,0.003
3549,0.30528913972869,0.015,0.021,0.003
3580,-0.059455214581956,0.015,0.022,0.003
3874,0.67766037028293,0.015,0,0.004
3875,1.505088424302,0.015,0.001,0.004
3921,1.7690779585968,0.015,0.002,0.004
3952,1.8015482271035,0.015,0.003,0.004
3983,1.2533874417873,0.015,0.004,0.004
4014,0.62170803629074,0.015,0.005,0.004
4045,-0.38404021286883,0.015,0.006,0.004
4076,-1.1110393758959,0.015,0.007,0.004
4107,-1.918928657181,0.015,0.008,0.004
4138,-2.0916528917433,0.015,0.009,0.004
4169,-2.220979438166,0.015,0.01,0.004
4200,-1.5978863351367,0.015,0.011,0.004
4231,-1.1081468691648,0.015,0.012,0.004
4262,-0.02726694770347,0.015,0.013,0.004
4293,0.55938226324117,0.015,0.014,0.004
4324,1.4406619898301,0.015,0.015,0.004
4355,1.566750487094,0.015,0.016,0.004
4386,1.7445732910456,0.015,0.017,0.004
4417,1.2647019735039,0.015,0.018,0.004
4448,0.72653788214356,0.015,0.019,0.004
4479,0.018460775101525,0.015,0.02,0.004
4510,-0.80030574466931,0.015,0.021,0.004
4541,-1.1699623229333,0.015,0.022,0.004
4835,1.2337123343219,0.015,0,0.005
4836,1.80770489476,0.015,0.001,0.005
4882,2.1103979629763,0.015,0.002,0.005
4913,1.6812832328353,0.015,0.003,0.005
4944,1.0640036372389,0.015,0.004,0.005
4975,-0.076724545379237,0.015,0.005,0.005
5006,-0.9903775014961,0.015,0.006,0.005
5037,-2.0442172386795,0.015,0.007,0.005
5068,-2.3935254517078,0.015,0.008,0.005
5099,-2.6589011869096,0.015,0.009,0.005
5130,-2.0003014676653,0.015,0.01,0.005
5161,-1.4215098296532,0.015,0.011,0.005
5192,-0.056625879159364,0.015,0.012,0.005
5223,0.75508039834179,0.015,0.013,0.005
5254,2.0239182640734,0.015,0.014,0.005
5285,2.2850303303947,0.015,0.015,0.005
5316,2.7198628418398,0.015,0.016,0.005
5347,2.066214627904,0.015,0.017,0.005
5378,1.4576908886786,0.015,0.018,0.005
5409,0.23415161908895,0.015,0.019,0.005
5440,-0.99495300966587,0.015,0.02,0.005
5471,-1.9868705551757,0.015,0.021,0.005
5502,-3.1267332062685,0.015,0.022,0.005
5796,1.5723635616888,0.015,0,0.006
5797,2.2392697154136,0.015,0.001,0.006
5843,2.0838087099217,0.015,0.002,0.006
5874,1.6344232097595,0.015,0.003,0.006
5905,0.47451025653006,0.015,0.004,0.006
5936,-0.5909663764529,0.015,0.005,0.006
5967,-1.923540868334,0.015,0.006,0.006
5998,-2.5662046282965,0.015,0.007,0.006
6029,-3.105876947173,0.015,0.008,0.006
6060,-2.582892932919,0.015,0.009,0.006
6091,-2.0335117155203,0.015,0.01,0.006
6122,-0.49062940871044,0.015,0.011,0.006
6153,0.54120603915626,0.015,0.012,0.006
6184,2.224289722941,0.015,0.013,0.006
6215,2.7448454739884,0.015,0.014,0.006
6246,3.6124591230692,0.015,0.015,0.006
