id,uzi,x,y,z
9036,-0.46241993623479,0.015,0.012,0.009
9067,-1.4346428006443,0.015,0.013,0.009
9098,-2.4337001533483,0.015,0.014,0.009
9129,-3.3648875204528,0.015,0.015,0.009
9160,-4.2625494942772,0.015,0.016,0.009
9191,-5.20711815548,0.015,0.017,0.009
9222,-6.1715779054946,0.015,0.018,0.009
9253,-7.1451408362406,0.015,0.019,0.009
9284,-8.0730206169694,0.015,0.02,0.009
9315,-8.8607794465281,0.015,0.021,0.009
9346,-9.483983587594,0.015,0.022,0.009
9640,2.224176392305,0.015,0,0.01
9641,2.6170725269622,0.015,0.001,0.01
9687,2.9595718407399,0.015,0.002,0.01
9718,3.2226436599671,0.015,0.003,0.01
9749,3.3815638847984,0.015,0.004,0.01
9780,3.4131287774368,0.015,0.005,0.01
9811,3.2975521023733,0.015,0.006,0.01
9842,3.0215875489759,0.015,0.007,0.01
9873,2.5711952495516,0.015,0.008,0.01
9904,1.9515051404797,0.015,0.009,0.01
9935,1.1630194418033,0.015,0.01,0.01
9966,0.23345799746539,0.015,0.011,0.01
9997,-0.77599094302256,0.015,0.012,0.01
10028,-1.8580704905702,0.015,0.013,0.01
10059,-2.835052181776,0.015,0.014,0.01
10090,-3.7662908127058,0.015,0.015,0.01
10121,-4.6633850516969,0.015,0.016,0.01
10152,-5.538752438107,0.015,0.017,0.01
10183,-6.5447576848783,0.015,0.018,0.01
10214,-7.6044947915186,0.015,0.019,0.01
10245,-8.5885162347918,0.015,0.02,0.01
10276,-9.4838906822577,0.015,0.021,0.01
10307,-10.163954670867,0.015,0.022,0.01
10601,2.4748147197167,0.015,0,0.011
10602,2.8363207380529,0.015,0.001,0.011
10648,3.1499816403634,0.015,0.002,0.011
10679,3.3865342372129,0.015,0.003,0.011
10710,3.5169929747021,0.015,0.004,0.011
10741,3.5178940705016,0.015,0.005,0.011
10772,3.3689301624906,0.015,0.006,0.011
10803,3.0522686474869,0.015,0.007,0.011
10834,2.5615713194035,0.015,0.008,0.011
10865,1.8792376411687,0.015,0.009,0.011
10896,1.0348064067108,0.015,0.01,0.011
10927,0.033228226754932,0.015,0.011,0.011
10958,-1.0424274613284,0.015,0.012,0.011
10989,-2.1077816926208,0.015,0.013,0.011
11020,-3.0369657579165,0.015,0.014,0.011
11051,-4.0197681318836,0.015,0.015,0.011
11082,-5.0225099563528,0.015,0.016,0.011
11113,-5.8809710257626,0.015,0.017,0.011
11144,-6.8807697316236,0.015,0.018,0.011
11175,-7.9624486853558,0.015,0.019,0.011
11206,-9.100275630663,0.015,0.02,0.011
11237,-10.043543261098,0.015,0.021,0.011
11268,-10.808893733231,0.015,0.022,0.011
11562,2.6791152643667,0.015,0,0.012
11563,3.0120432034329,0.015,0.001,0.012
11609,3.3030925119343,0.015,0.002,0.012
11640,3.5169067729597,0.015,0.003,0.012
11671,3.6257204350818,0.015,0.004,0.012
11702,3.6028961007846,0.015,0.005,0.012
11733,3.4282443728892,0.015,0.006,0.012
11764,3.085330101458,0.015,0.007,0.012
11795,2.5578233639406,0.015,0.008,0.012
11826,1.8491894296051,0.015,0.009,0.012
11857,0.92114016688376,0.015,0.01,0.012
11888,-0.12260109329203,0.015,0.011,0.012
11919,-1.2579743927199,0.015,0.012,0.012
11950,-2.1871788728672,0.015,0.013,0.012
11981,-3.1550767155857,0.015,0.014,0.012
12012,-4.1584647787771,0.015,0.015,0.012
12043,-5.162460222498,0.015,0.016,0.012
12074,-6.1931409288421,0.015,0.017,0.012
12105,-7.1585893459411,0.015,0.018,0.012
12136,-8.3334300968586,0.015,0.019,0.012
12167,-9.489709339816,0.015,0.02,0.012
12198,-10.5810637112,0.015,0.021,0.012
12229,-11.390565899131,0.015,0.022,0.012
12523,2.8290364613029,0.015,0,0.013
12524,3.1417831003191,0.015,0.001,0.013
12570,3.4141464920252,0.015,0.002,0.013
12601,3.6127913224659,0.015,0.003,0.013
12632,3.7048775112062,0.015,0.004,0.013
12663,3.666589139297,0.015,0.005,0.013
12694,3.4744023370399,0.015,0.006,0.013
12725,3.1136487885272,0.015,0.007,0.013
12756,2.5687276970556,0.015,0.008,0.013
12787,1.8256377578389,0.015,0.009,0.013
12818,0.88987454165824,0.015,0.01,0.013
12849,-0.31764108561912,0.015,0.011,0.013
12880,-1.3388056758203,0.015,0.012,0.013
12911,-2.2760627077082,0.015,0.013,0.013
12942,-3.2621578457787,0.015,0.014,0.013
12973,-4.2415317205905,0.015,0.015,0.013
13004,-5.2540454879888,0.015,0.016,0.013
13035,-6.2907204957355,0.015,0.017,0.013
13066,-7.339001513017,0.015,0.018,0.013
13097,-8.4994523151642,0.015,0.019,0.013
13128,-9.8939175397177,0.015,0.02,0.013
13159,-10.995608645251,0.015,0.021,0.013
13190,-11.869097567744,0.015,0.022,0.013
13484,2.921877545658,0.015,0,0.014
13485,3.2200780303218,0.015,0.001,0.014
13531,3.4827127087047,0.015,0.002,0.014
13562,3.6703815985991,0.015,0.003,0.014
13593,3.7542520739716,0.015,0.004,0.014
13624,3.705079874801,0.015,0.005,0.014
13655,3.5053315571224,0.015,0.006,0.014
13686,3.1323079477532,0.015,0.007,0.014
13717,2.5820010679299,0.015,0.008,0.014
13748,1.8190602349919,0.015,0.009,0.014
13779,0.85349667220948,0.015,0.01,0.014
13810,-0.45422891498174,0.015,0.011,0.014
13841,-1.3528972717714,0.015,0.012,0.014
13872,-2.3279987562512,0.015,0.013,0.014
13903,-3.2985715339415,0.015,0.014,0.014
13934,-4.3075081809884,0.015,0.015,0.014
13965,-5.3248104104125,0.015,0.016,0.014
13996,-6.3630635733675,0.015,0.017,0.014
14027,-7.409688208015,0.015,0.018,0.014
14058,-8.4847957276056,0.015,0.019,0.014
14089,-10.175181277919,0.015,0.02,0.014
14120,-11.326266545972,0.015,0.021,0.014
14151,-12.119720536246,0.015,0.022,0.014
14445,2.9523534014883,0.015,0,0.015
14446,3.2472664170195,0.015,0.001,0.015
14492,3.5049127532706,0.015,0.002,0.015
14523,3.6906050357915,0.015,0.003,0.015
14554,3.7698607345248,0.015,0.004,0.015
14585,3.7195598458731,0.015,0.005,0.015
14616,3.513798749617,0.015,0.006,0.015
14647,3.1431797104949,0.015,0.007,0.015
14678,2.5793703156693,0.015,0.008,0.015
14709,1.8363322326623,0.015,0.009,0.015
