id,u,x,y,z
489,656.5780961987,0.85,0.04,0
490,665.82380644186,0.86,0.04,0
491,675.17795690802,0.87,0.04,0
492,684.61011827582,0.88,0.04,0
493,694.1042487062,0.89,0.04,0
494,703.66107219232,0.9,0.04,0
495,713.29741654125,0.91,0.04,0
496,723.04326710807,0.92,0.04,0
497,732.93733430617,0.93,0.04,0
498,743.02186582773,0.94,0.04,0
499,753.33751485572,0.95,0.04,0
500,763.91996659561,0.96,0.04,0
501,774.80046640159,0.97,0.04,0
502,786.01031247832,0.98,0.04,0
503,797.58967168105,0.99,0.04,0
504,809.59336252881,1,0.04,0
505,8.7971076318637,0.01,0.05,0
506,0,0,0.05,0
507,17.592181740381,0.02,0.05,0
508,26.382960898303,0.03,0.05,0
509,35.166776984779,0.04,0.05,0
510,43.940403549053,0.05,0.05,0
511,52.699919990066,0.06,0.05,0
512,61.440709425024,0.07,0.05,0
513,70.157471808896,0.08,0.05,0
514,78.844334717544,0.09,0.05,0
515,87.49505924419,0.1,0.05,0
516,96.103262694952,0.11,0.05,0
517,104.6627128501,0.12,0.05,0
518,113.16759604556,0.13,0.05,0
519,121.61281342127,0.14,0.05,0
520,129.99418989006,0.15,0.05,0
521,138.30867568101,0.16,0.05,0
522,146.55445242783,0.17,0.05,0
523,154.73098521607,0.18,0.05,0
524,162.83904060308,0.19,0.05,0
525,170.88063956804,0.2,0.05,0
526,178.85895637082,0.21,0.05,0
527,186.77822303424,0.22,0.05,0
528,194.64353019753,0.23,0.05,0
529,202.46063566601,0.24,0.05,0
530,210.23570944547,0.25,0.05,0
531,217.97498604478,0.26,0.05,0
532,225.68441437881,0.27,0.05,0
533,233.36922418911,0.28,0.05,0
534,241.03347249481,0.29,0.05,0
535,248.67961565551,0.3,0.05,0
536,256.30807472919,0.31,0.05,0
537,263.91697535019,0.32,0.05,0
538,271.50198539915,0.33,0.05,0
539,279.0564067013,0.34,0.05,0
540,286.57151378066,0.35,0.05,0
541,294.03714905673,0.36,0.05,0
542,301.44252106192,0.37,0.05,0
543,308.77722734492,0.38,0.05,0
544,316.03230446811,0.39,0.05,0
545,323.20129232219,0.4,0.05,0
546,330.28108841957,0.41,0.05,0
547,337.27268591154,0.42,0.05,0
548,344.18157726636,0.43,0.05,0
549,351.01784914824,0.44,0.05,0
550,357.79605387321,0.45,0.05,0
551,364.53476297496,0.46,0.05,0
552,371.25595822974,0.47,0.05,0
553,377.98415033005,0.48,0.05,0
554,384.74528123562,0.49,0.05,0
555,391.56537605208,0.5,0.05,0
556,398.46885079714,0.51,0.05,0
557,405.47656339452,0.52,0.05,0
