id,strain_stress,x,y,z
168,-0.019919664281655,0.02425,0.00125,0
169,-0.011911437240751,0.02475,0.00125,0
170,-0.0025732819171138,0.02525,0.00125,0
171,0.005722040274968,0.02575,0.00125,0
172,0.011013577789158,0.02625,0.00125,0
173,0.012286070860045,0.02675,0.00125,0
174,0.0097286532576016,0.02725,0.00125,0
175,0.0046772415447467,0.02775,0.00125,0
176,-0.00084178954099436,0.02825,0.00125,0
177,-0.0047147927466579,0.02875,0.00125,0
178,-0.0051537206735363,0.02925,0.00125,0
179,-0.0015609042407787,0.02975,0.00125,0
180,-0.0040905779672809,0.00025,0.00175,0
181,-0.0046807291409014,0.00075,0.00175,0
182,-0.00098274138318858,0.00125,0.00175,0
183,0.0051679299060084,0.00175,0.00175,0
184,0.010911889708669,0.00225,0.00175,0
185,0.013570040116447,0.00275,0.00175,0
186,0.011545190025885,0.00325,0.00175,0
187,0.0048924573890736,0.00375,0.00175,0
188,-0.0046914135532554,0.00425,0.00175,0
189,-0.0143948409501,0.00475,0.00175,0
190,-0.021171257085886,0.00525,0.00175,0
191,-0.02268983754518,0.00575,0.00175,0
192,-0.018010862159694,0.00625,0.00175,0
193,-0.0079188809219588,0.00675,0.00175,0
194,0.0052998588771212,0.00725,0.00175,0
195,0.018461303034385,0.00775,0.00175,0
196,0.028411184500231,0.00825,0.00175,0
197,0.032973291134744,0.00875,0.00175,0
198,0.031565246610774,0.00925,0.00175,0
199,0.025340873678584,0.00975,0.00175,0
200,0.016605415487942,0.01025,0.00175,0
201,0.0079440008754123,0.01075,0.00175,0
202,0.001129763343057,0.01125,0.00175,0
203,-0.003362748856369,0.01175,0.00175,0
204,-0.0065484968928079,0.01225,0.00175,0
205,-0.0098533264560025,0.01275,0.00175,0
206,-0.014708718231725,0.01325,0.00175,0
207,-0.019662121485484,0.01375,0.00175,0
208,-0.027573047450344,0.01425,0.00175,0
209,-0.040116412630803,0.01475,0.00175,0
210,-0.040116412630786,0.01525,0.00175,0
211,-0.027573047450324,0.01575,0.00175,0
212,-0.019662121485479,0.01625,0.00175,0
