id,integral_strain_stress_param2,x,y,z
79,-1.642040512719e-08,0.0195,0.0025,0
80,3.5236410054022e-08,0.0205,0.0025,0
81,2.5593709042796e-08,0.0215,0.0025,0
82,-9.1867517785586e-09,0.0225,0.0025,0
83,-1.1211897744488e-08,0.0235,0.0025,0
84,2.9724297579022e-09,0.0245,0.0025,0
85,2.8677876519029e-09,0.0255,0.0025,0
86,-1.3011792904527e-09,0.0265,0.0025,0
87,-2.5197675188174e-10,0.0275,0.0025,0
88,4.4542335761679e-10,0.0285,0.0025,0
89,-1.0770855955753e-10,0.0295,0.0025,0
90,2.8810109110039e-10,0.0005,0.0035,0
91,-5.1389638101811e-11,0.0015,0.0035,0
92,-1.2267315579528e-09,0.0025,0.0035,0
93,2.9676153631495e-09,0.0035,0.0035,0
94,1.0976479415006e-09,0.0045,0.0035,0
95,-1.2915661272172e-08,0.0055,0.0035,0
96,6.032016300077e-09,0.0065,0.0035,0
97,3.9206739732078e-08,0.0075,0.0035,0
98,-1.4744239652103e-08,0.0085,0.0035,0
99,-9.7412511482074e-08,0.0095,0.0035,0
100,-2.6199213656915e-08,0.0105,0.0035,0
101,1.9262002079079e-07,0.0115,0.0035,0
102,2.3996485365677e-07,0.0125,0.0035,0
103,-2.5530879103037e-07,0.0135,0.0035,0
104,-4.6998239793276e-07,0.0145,0.0035,0
105,-4.6998239793276e-07,0.0155,0.0035,0
106,-2.5530879103037e-07,0.0165,0.0035,0
107,2.3996485365677e-07,0.0175,0.0035,0
108,1.9262002079079e-07,0.0185,0.0035,0
109,-2.6199213656914e-08,0.0195,0.0035,0
110,-9.7412511482075e-08,0.0205,0.0035,0
111,-1.4744239652104e-08,0.0215,0.0035,0
112,3.9206739732078e-08,0.0225,0.0035,0
113,6.0320163000771e-09,0.0235,0.0035,0
114,-1.2915661272172e-08,0.0245,0.0035,0
115,1.0976479415006e-09,0.0255,0.0035,0
116,2.9676153631495e-09,0.0265,0.0035,0
117,-1.2267315579528e-09,0.0275,0.0035,0
118,-5.1389638101806e-11,0.0285,0.0035,0
119,2.8810109110039e-10,0.0295,0.0035,0
120,5.7747767613876e-10,0.0005,0.0045,0
121,-1.2228402173971e-09,0.0015,0.0045,0
122,2.8085564037177e-09,0.0025,0.0045,0
123,7.7016974803994e-10,0.0035,0.0045,0
124,-1.2460547772645e-08,0.0045,0.0045,0
125,1.7445475058171e-08,0.0055,0.0045,0
126,3.1689449777846e-08,0.0065,0.0045,0
127,-8.6002057083503e-08,0.0075,0.0045,0
128,-7.3866014711824e-08,0.0085,0.0045,0
129,1.9928920653008e-07,0.0095,0.0045,0
130,2.5744692170079e-07,0.0105,0.0045,0
131,-8.8328563446868e-08,0.0115,0.0045,0
132,-8.1329047503894e-07,0.0125,0.0045,0
133,-2.3388819662066e-06,0.0135,0.0045,0
134,-2.6883641847677e-06,0.0145,0.0045,0
135,-2.6883641847677e-06,0.0155,0.0045,0
136,-2.3388819662066e-06,0.0165,0.0045,0
137,-8.1329047503894e-07,0.0175,0.0045,0
138,-8.8328563446872e-08,0.0185,0.0045,0
139,2.5744692170079e-07,0.0195,0.0045,0
140,1.9928920653009e-07,0.0205,0.0045,0
141,-7.3866014711822e-08,0.0215,0.0045,0
142,-8.6002057083504e-08,0.0225,0.0045,0
143,3.1689449777846e-08,0.0235,0.0045,0
144,1.7445475058171e-08,0.0245,0.0045,0
145,-1.2460547772645e-08,0.0255,0.0045,0
146,7.7016974803994e-10,0.0265,0.0045,0
147,2.8085564037177e-09,0.0275,0.0045,0
148,-1.2228402173971e-09,0.0285,0.0045,0
149,5.7747767613876e-10,0.0295,0.0045,0
150,-1.0062168728172e-09,0.0005,0.0055,0
151,1.3369588604392e-09,0.0015,0.0055,0
152,1.8191139556921e-09,0.0025,0.0055,0
153,-1.2106867212469e-08,0.0035,0.0055,0
154,1.731068242341e-08,0.0045,0.0055,0
155,2.3240147012435e-08,0.0055,0.0055,0
156,-1.1375074472251e-07,0.0065,0.0055,0
157,2.3235847822395e-08,0.0075,0.0055,0
158,3.8707444435897e-07,0.0085,0.0055,0
159,-1.8397422985686e-07,0.0095,0.0055,0
160,-8.6194567152722e-07,0.0105,0.0055,0
161,1.6159948473304e-07,0.0115,0.0055,0
162,1.1950671047423e-06,0.0125,0.0055,0
163,-8.1070160626962e-07,0.0135,0.0055,0
164,-1.4174872474939e-06,0.0145,0.0055,0
165,-1.4174872474939e-06,0.0155,0.0055,0
166,-8.1070160626959e-07,0.0165,0.0055,0
167,1.1950671047423e-06,0.0175,0.0055,0
168,1.6159948473306e-07,0.0185,0.0055,0
169,-8.6194567152722e-07,0.0195,0.0055,0
170,-1.8397422985688e-07,0.0205,0.0055,0
171,3.8707444435897e-07,0.0215,0.0055,0
172,2.3235847822397e-08,0.0225,0.0055,0
173,-1.1375074472251e-07,0.0235,0.0055,0
174,2.3240147012434e-08,0.0245,0.0055,0
175,1.731068242341e-08,0.0255,0.0055,0
176,-1.210686721247e-08,0.0265,0.0055,0
177,1.8191139556921e-09,0.0275,0.0055,0
178,1.3369588604392e-09,0.0285,0.0055,0
179,-1.0062168728172e-09,0.0295,0.0055,0
180,-2.0273522936639e-09,0.0005,0.0065,0
181,3.1251059763241e-09,0.0015,0.0065,0
182,-1.1881463057803e-08,0.0025,0.0065,0
183,9.3476164289087e-09,0.0035,0.0065,0
184,2.5176689708428e-08,0.0045,0.0065,0
185,-1.0471493695128e-07,0.0055,0.0065,0
186,7.2236253037275e-08,0.0065,0.0065,0
187,3.70769787695e-07,0.0075,0.0065,0
188,-6.2766210503568e-07,0.0085,0.0065,0
189,-9.6999273163547e-07,0.0095,0.0065,0
190,2.145786896336e-06,0.0105,0.0065,0
191,2.7367026800273e-06,0.0115,0.0065,0
192,-3.1024082816509e-06,0.0125,0.0065,0
193,-1.3604985069239e-05,0.0135,0.0065,0
194,-2.0066164033699e-05,0.0145,0.0065,0
195,-2.0066164033699e-05,0.0155,0.0065,0
196,-1.3604985069239e-05,0.0165,0.0065,0
197,-3.1024082816509e-06,0.0175,0.0065,0
198,2.7367026800273e-06,0.0185,0.0065,0
199,2.145786896336e-06,0.0195,0.0065,0
200,-9.6999273163545e-07,0.0205,0.0065,0
201,-6.2766210503569e-07,0.0215,0.0065,0
202,3.70769787695e-07,0.0225,0.0065,0
203,7.2236253037278e-08,0.0235,0.0065,0
204,-1.0471493695129e-07,0.0245,0.0065,0
205,2.5176689708427e-08,0.0255,0.0065,0
206,9.3476164289088e-09,0.0265,0.0065,0
207,-1.1881463057803e-08,0.0275,0.0065,0
208,3.1251059763241e-09,0.0285,0.0065,0
209,-2.0273522936639e-09,0.0295,0.0065,0
210,2.5630180064798e-09,0.0005,0.0075,0
211,-4.5805689916275e-09,0.0015,0.0075,0
212,-3.4931976709748e-09,0.0025,0.0075,0
213,3.6625306691493e-08,0.0035,0.0075,0
